Coluna alvo,R²,MAE,MSE,RMSE,MAPE,MPE
attr_conc.max,0.6843144513920805,0.11794029675821353,0.027673854820000014,0.16635460564709356,18.652054457678915,-5.5289130992494515
attr_conc.mean,0.9582910494569655,0.02750407420735452,0.0018918447224193149,0.04349534138754764,22.577499667845778,-8.186218147104489
attr_conc.median,0.947570934259992,0.04617615256817443,0.004216083916816108,0.06493137852237628,94.4123824658711,-66.7681580111156
attr_conc.min,-1.2746116995543129,0.009377715121991346,0.0005634838673383342,0.02373781513405002,244119.62611889144,235098.56906012277
attr_conc.sd,0.9063299423446375,0.027093122913840917,0.001358105139536813,0.03685247806507472,14.731745361858517,-2.5363841697292373
attr_ent.max,0.7329617107723316,0.6403668557674915,1.0030267627461886,1.0015122379412988,10.517277210359596,-0.47305334627624157
attr_ent.mean,0.8870971430299596,0.35113993662011234,0.23641995559973747,0.48623035240484264,10.823980488864885,1.4405581349112033
attr_ent.median,0.8358903116282279,0.5337157181024017,0.49675583194213435,0.7048090748153959,20.9215836195953,-10.944533418356237
attr_ent.min,0.6760231416726541,0.2778786985410891,0.13180111777382927,0.3630442366624614,inf,-inf
attr_ent.sd,0.8606487257634076,0.23950220980441891,0.09743356126392723,0.3121434946686015,19.014844045584802,-7.341264769361411
attr_to_inst,0.608709515461391,0.03418224070852255,0.0031799806316891326,0.05639131698842591,1617.930490893443,-1594.819918486602
cat_to_num,0.9751211703858741,0.9873025670767358,2.810568072339768,1.676474894634503,inf,-inf
cor.max,0.4455607401479532,0.02815363232341308,0.004643757306473316,0.06814511946187574,3.8401964645725406,-2.0061399196896823
cor.mean,-1.625823624523222,0.008095541361386604,0.00046869738088476856,0.0216494198740929,32.81567971798094,-20.385328478927438
cor.median,-5.974638096656313,0.005929188182634031,0.00045195259497007287,0.02125917672371329,45.375480203536775,-38.86318091907232
cor.min,0.5127436465974043,0.00029549741582228934,2.522665228235831e-07,0.0005022614088535801,inf,-inf
cor.sd,0.31681704898105045,0.010597492133643013,0.000301799823050533,0.017372386797746962,17.760133631761672,-1.3449064381849416
cov.max,-30.4951764292685,150136.5291498631,93514052990.02274,305800.6752609005,144494744.97133982,-144494719.09814775
cov.mean,-0.6124301149122884,10.288443349014775,670.3201003128614,25.890540749719026,9307976.867737252,-9307976.867737252
cov.median,0.6311957892039524,0.01602757273906891,0.005352274918717474,0.07315924356304865,283.7993793025785,-274.0309325097004
cov.min,-257377.87303444443,0.0018253871757753,6.839909624126894e-05,0.008270374613115717,inf,-inf
cov.sd,-1091.770307270705,1957.628253200072,31164180.232370365,5582.488713143123,241258952.0334215,-241258945.85108963
eigenvalues.max,-260948661844649.6,55643119157033.38,2.8528867795107433e+28,168904907551874.97,5128672467183416.0,-5128672467183405.0
eigenvalues.mean,-1314537.528388401,5351888.894416215,200010903208369.16,14142521.105106018,40187230599.600685,-40187230599.600685
eigenvalues.median,0.289817906804654,0.16850818422489736,0.5799598827107082,0.7615509718401705,2.2640944122857467e+18,-2.2640944122857467e+18
eigenvalues.min,-8.372546870589132e+18,0.0031409133876720364,0.00013364907208126032,0.011560669188297895,inf,-inf
eigenvalues.sd,-11888066.747524679,428225384.23291004,1.5202782316275942e+18,1232995633.2556877,540403639789.3959,-540403639787.61304
g_mean.max,0.9961311503193621,8967.867686773385,734518735.2700638,27102.006111542072,inf,-inf
g_mean.mean,0.9002755633143962,8.937586101495546,666.6656272449263,25.81986884639282,inf,-inf
g_mean.median,0.9998655478415146,0.03609034254559344,0.008451292474732178,0.09193091142119814,inf,-inf
g_mean.min,0.88288726065214,0.0018997913219067145,5.041722035060462e-05,0.007100508457188444,inf,-inf
g_mean.sd,0.9977963331192252,80.30925213921284,55514.476780295736,235.61510303946082,inf,-inf
h_mean.max,0.9916701623566819,8675.486302269426,689339157.3929174,26255.269135792863,inf,-inf
h_mean.mean,0.5393596204534451,11.306532550762169,1144.2640327799654,33.826971971785554,inf,-inf
h_mean.median,0.9601625507430445,0.1762334361979518,0.17382214901073859,0.41691983523303205,inf,-inf
h_mean.min,0.9405112899144753,0.001129534054545855,1.9706666701358618e-05,0.004439219154463836,inf,-inf
h_mean.sd,0.9780640840691971,180.3616411475045,242888.61123773482,492.8373070676923,inf,-inf
inst_to_attr,0.5737675233679327,3883.63754419391,69609140.73118325,8343.209258503783,6689.259312555654,-6662.296013224652
iq_range.max,0.7023909408776933,477.8935714285713,1002441.6752970236,1001.2200933346392,936.2201204620121,-929.2833075840871
iq_range.mean,0.6329624915098061,1.5754458855794993,11.305801081105555,3.3624100108561352,1640.954376846329,-1637.359123545211
iq_range.median,-167.5674644791666,4.158333333333333,275.2121869047619,16.589520394054855,inf,-inf
iq_range.min,1.0,0.0,0.0,0.0,,
iq_range.sd,-1.654491178426896,36.553503242505194,9345.009879437888,96.66959128618414,972.0142861481022,-969.5781451938117
kurtosis.max,0.9068877030998118,443.7383272811735,1242327.3181868193,1114.5973794096321,19.05004607192638,-16.512163881191395
kurtosis.mean,0.4878881621382396,110.44311807880274,69671.46170738898,263.95352186964465,106.89899471748924,-99.3489461764406
kurtosis.median,0.9614997482481435,39.261330141287864,3906.1426436709257,62.49914114346633,12.948932169210059,-10.785013721100912
kurtosis.min,-0.964592463292854,0.5672514579961155,1.6599864540702434,1.2884046158215374,91.7158675845238,-58.277286046162445
kurtosis.sd,0.892884894221159,67.79179966685822,24788.916103024163,157.44496213923188,29.957423454194544,-20.338866014157205
mad.max,0.8133704207790837,169607.47096599996,350587689649.744,592104.4583937399,inf,-inf
mad.mean,-1.2165116964837006,1.5260942565491589,19.63203276101369,4.430804978896464,inf,-inf
mad.median,0.16696937499999998,0.13343399999999997,0.33216996208199995,0.5763418795142341,inf,-inf
mad.min,1.0,0.0,0.0,0.0,,
mad.sd,-4848.40471648061,970.0642788126623,9344901.89196296,3056.9432268138316,inf,-inf
max.max,-10.178993487408443,36932.714761904754,13499177349.46146,116185.96020802797,1803159.2398150933,-1803142.0201202827
max.mean,-134727.13891475552,4834.595310976006,243533046.77256122,15605.545385296895,447449.4016967854,-447443.78640980937
